,sicbro_id,RA_DEG,DEC_DEG,MEAN_XCOL,MEAN_YCOL,F062,F087,F106,F129,F158,F184,F213,F146,transitHost,dimEB,blendedEB,lowmassEB,lowRedNoise,hiRedNoise,variable,F087_flux,F087_flux_err,F146_flux,F146_flux_err,F213_flux,F213_flux_err
77,25991,268.4926379557355,-29.203472996632005,1908.3283644859837,2014.0248030018724,26.1728,24.4738,23.7735,23.0731,22.8639,22.9156,22.9674,22.9683,0,0,0,0,0,0,0,16.823899607914566,4.101694723881162,67.31729681066628,8.204711866401299,67.37312131427949,8.20811313970997
78,26047,268.49089693601456,-29.206141305656963,1908.5853645256216,1909.3024789448464,25.4027,23.7314,23.0444,22.3573,22.1408,22.1862,22.2317,22.2456,0,0,0,0,0,0,0,33.33394144165746,5.773555355381765,130.98050729721228,11.444671567904965,132.66814847832595,11.518166020609616
79,26446,268.4911047133287,-29.207737951979105,1939.9538403780489,1865.3890410429508,19.8208,19.2446,18.9778,18.7109,18.5465,18.69,18.8335,18.6697,0,0,0,0,0,0,0,2077.8139999833625,45.58304509336078,3528.309452192117,59.39957451187775,3034.217215734086,55.08372913786871
80,26491,268.4898822270297,-29.206949463891217,1896.4885657540235,1870.2716419030992,25.5235,23.8589,23.17,22.4812,22.2707,22.3189,22.3672,22.3742,0,0,0,0,0,0,0,29.64057799253327,5.444316117983348,116.35007515509776,10.78656920225786,117.10263517130491,10.821397098864125
81,26516,268.489962192594,-29.20377871499274,1846.4984313003408,1964.8691703796264,26.3059,24.6256,23.9284,23.2313,23.0196,23.0712,23.1228,23.1249,0,0,0,0,0,0,0,14.628731477591007,3.8247524727217326,58.27558852463469,7.633844937162052,58.38841258119235,7.641231090681157
82,26600,268.4895657509041,-29.20497005552089,1856.128490953761,1923.82828117245,18.4102,17.9803,17.8926,17.8049,17.848,18.011,18.1741,17.896,0,0,0,0,0,0,0,6657.737504173857,81.59496004149923,7195.26292265773,84.82489565368017,5569.377656339886,74.62826312021396
83,27049,268.4886878297012,-29.2067820623606,1863.9081966755969,1857.280498887827,26.2775,24.5302,23.7726,23.015,22.7916,22.8325,22.8734,22.8973,0,0,0,0,0,0,0,15.97227092397553,3.9965323624331544,71.86652871608054,8.477412855115677,73.46604629531558,8.571233650724706
84,27140,268.4926767610692,-29.20412621176674,1920.0074503621595,1995.3656916868688,24.5198,23.0905,22.5322,21.9738,21.7299,21.8049,21.88,21.8575,0,0,0,0,0,0,0,60.151528576639734,7.755741652262518,187.2607110644926,13.684323551586049,183.41999114818285,13.543263681557073
85,27469,268.4952511946251,-29.20365723439248,1976.6303375776968,2047.8084362935545,22.4824,21.4132,20.9444,20.4757,20.2514,20.3412,20.4309,20.377,0,0,0,0,0,0,0,281.9464742885043,16.791261843247646,732.228566676037,27.05972222096962,696.7655473219568,26.396316927214613
86,27677,268.49195477588705,-29.204876843272444,1914.27876567687,1962.421543565025,26.1821,24.5095,23.8149,23.1204,22.8958,22.9492,23.0025,23.007,0,0,0,0,0,0,0,16.279710145083335,4.034812281269518,64.96009751125837,8.059782721094804,65.22989330393973,8.076502541567095
87,28147,268.49122253946456,-29.20830824556022,1952.2474636881552,1850.3582933725172,24.1352,22.8153,22.2326,21.6499,21.4386,21.4933,21.548,21.545,0,0,0,0,0,0,0,77.5044552559122,8.803661468724941,249.71617160664456,15.802410310033231,249.02713270638597,15.780593547341176
88,28849,268.49171355706363,-29.209279885119997,1980.4434681637,1829.1048668114688,20.6431,19.9074,19.5963,19.2853,19.0451,19.1796,19.3141,19.195,0,0,0,0,0,0,0,1128.4612958101757,33.59257798696277,2174.9369329261203,46.636219110538114,1948.9767941918603,44.147217287071
89,29248,268.4875372098503,-29.20472742103559,1801.477113031783,1900.535790629444,23.4682,22.2471,21.7883,21.3295,21.0476,21.1402,21.2328,21.1974,0,0,0,0,0,0,0,130.799675981677,11.43676859876412,343.94315294889395,18.545704433881554,332.90986768983595,18.245817813675437
90,29617,268.4950610110792,-29.20722682829038,2030.4020099752647,1939.80614103702,24.0641,22.7396,22.241,21.7424,21.4681,21.5556,21.6431,21.6128,0,0,0,0,0,0,0,83.10108002734498,9.115979378396212,234.5992763517975,15.31663397590337,228.14274789060462,15.104394985917331
91,29739,268.4911396127301,-29.20365806853811,1873.9329541625589,1986.0905306737372,18.4611,17.9848,17.8645,17.7442,17.7349,17.8906,18.0463,17.8009,0,0,0,0,0,0,0,6630.200596225324,81.42604372205078,7853.923524920486,88.62236469943964,6265.080680846881,79.15226263883352
92,29775,268.4894778029955,-29.201536051355,1797.6271385827663,2023.6604560113371,22.911,21.8544,21.4362,21.0181,20.7517,20.8408,20.93,20.8939,1,0,0,0,0,1,1,187.79614289974495,13.70387328092846,454.8693436732859,21.327666156269558,439.9939127725244,20.976031864309427
93,30317,268.49187451404254,-29.20389865675637,1896.235881915005,1990.0309851516984,24.4154,22.9704,22.409,21.8476,21.5901,21.6673,21.7444,21.7239,0,0,0,0,0,0,0,67.18721945170181,8.196781042073884,211.7808407841971,14.552691874158441,207.81967827212614,14.415952215241495
